Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,2.0,1.0,12.0,6.0,8.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/test/org/apache/zookeeper/server/DeserializationPerfTest.java,2.0,2.0,25.0,12.5,21.0,18.0,9.0,18.0,168.0,84.0,151.0,NO
1,src/java/test/org/apache/zookeeper/test/RecoveryTest.java,8.0,4.0,145.0,18.125,96.0,80.0,10.0,68.0,293.0,36.625,151.0,NO
1,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,4.0,2.0,29.0,7.25,13.0,3.0,0.75,8.0,271.0,67.75,151.0,NO
1,src/java/test/org/apache/zookeeper/test/DataTreeTest.java,6.0,3.0,28.0,4.6666665,10.0,4.0,0.6666667,2.0,328.0,54.666668,151.0,NO
1,src/java/test/org/apache/zookeeper/test/SyncCallTest.java,3.0,3.0,118.0,39.333332,114.0,96.0,32.0,114.0,26.0,8.666667,18.0,NO
1,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,2.0,1.0,9.0,4.5,8.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/main/org/apache/zookeeper/server/util/Profiler.java,3.0,1.0,49.0,16.333334,40.0,2.0,0.6666667,2.0,264.0,88.0,151.0,NO
1,src/java/test/org/apache/zookeeper/server/DataTreeUnitTest.java,1.0,1.0,56.0,56.0,56.0,0.0,0.0,56.0,31.0,31.0,31.0,NO
1,src/java/test/org/apache/zookeeper/test/EventTypeTest.java,1.0,1.0,50.0,50.0,50.0,0.0,0.0,50.0,25.0,25.0,25.0,NO
1,src/java/test/org/apache/zookeeper/test/KeeperStateTest.java,1.0,1.0,50.0,50.0,50.0,0.0,0.0,50.0,25.0,25.0,25.0,YES
1,src/java/main/org/apache/zookeeper/server/quorum/SendAckRequestProcessor.java,2.0,1.0,12.0,6.0,8.0,2.0,1.0,2.0,247.0,123.5,151.0,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,1.0,1.0,129.0,129.0,129.0,0.0,0.0,129.0,9.0,9.0,9.0,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/DataTreeV1.java,1.0,1.0,582.0,582.0,582.0,0.0,0.0,582.0,9.0,9.0,9.0,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeMain.java,1.0,1.0,181.0,181.0,181.0,0.0,0.0,181.0,9.0,9.0,9.0,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShot.java,1.0,1.0,33.0,33.0,33.0,0.0,0.0,33.0,9.0,9.0,9.0,NO
1,src/java/main/org/apache/zookeeper/server/upgrade/UpgradeSnapShotV1.java,1.0,1.0,323.0,323.0,323.0,0.0,0.0,323.0,9.0,9.0,9.0,YES
1,src/java/test/org/apache/zookeeper/test/UpgradeTest.java,1.0,1.0,110.0,110.0,110.0,0.0,0.0,110.0,9.0,9.0,9.0,NO
1,src/java/test/org/apache/zookeeper/server/ZooKeeperServerTest.java,4.0,2.0,104.0,26.0,70.0,21.0,5.25,18.0,216.0,54.0,151.0,NO
1,src/java/test/org/apache/zookeeper/test/WatchedEventTest.java,1.0,1.0,95.0,95.0,95.0,0.0,0.0,95.0,25.0,25.0,25.0,NO
1,src/java/main/org/apache/jute/compiler/generated/ParseException.java,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,199.0,99.5,151.0,NO
