Dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, Classifier, Feature Selection, Sensitivity, Balancing, TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, NAIVE_BAYES, BEST_FIRST, SENSITIVE_THRESHOLD, UNDER_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, NAIVE_BAYES, BEST_FIRST, SENSITIVE_LEARNING, UNDER_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.48717948717948717, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, NAIVE_BAYES, BEST_FIRST, NO_COST_SENSITIVE, SMOTE, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.48717948717948717, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, NAIVE_BAYES, BEST_FIRST, SENSITIVE_THRESHOLD, SMOTE, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, NAIVE_BAYES, BEST_FIRST, SENSITIVE_LEARNING, SMOTE, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.48717948717948717, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_COST_SENSITIVE, NO_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, SENSITIVE_THRESHOLD, NO_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, SENSITIVE_LEARNING, NO_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_COST_SENSITIVE, UNDER_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, SENSITIVE_THRESHOLD, UNDER_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, SENSITIVE_LEARNING, UNDER_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, NO_COST_SENSITIVE, SMOTE, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, SENSITIVE_THRESHOLD, SMOTE, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, NO_FEATURES_SELECTION, SENSITIVE_LEARNING, SMOTE, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, BEST_FIRST, NO_COST_SENSITIVE, NO_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, BEST_FIRST, SENSITIVE_THRESHOLD, NO_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, BEST_FIRST, SENSITIVE_LEARNING, NO_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, BEST_FIRST, NO_COST_SENSITIVE, UNDER_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, BEST_FIRST, SENSITIVE_THRESHOLD, UNDER_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, BEST_FIRST, SENSITIVE_LEARNING, UNDER_SAMPLING, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, BEST_FIRST, NO_COST_SENSITIVE, SMOTE, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
ZOOKEEPER, 1, 0.0011235955056179776, 1.0, 0.043869516310461196, RANDOM_FOREST, BEST_FIRST, SENSITIVE_THRESHOLD, SMOTE, 39.0, 850.0, 0.0, 0.0, NaN, 0.0, 0.5, 0.0
