Dataset, #TrainingRelease, %training, %Defective in training, %Defective in testing, Classifier, Feature Selection, Sensitivity, Balancing, TP, FP, TN, FN, Precision, Recall, ROC Area, Kappa
BOOKKEEPER, 1, 0.0027397260273972603, NaN, 0.2032967032967033, IBK, BEST_FIRST, NO_COST_SENSITIVE, OVER_SAMPLING, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 1, 0.0027397260273972603, NaN, 0.2032967032967033, IBK, BEST_FIRST, SENSITIVE_THRESHOLD, OVER_SAMPLING, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 1, 0.0027397260273972603, NaN, 0.2032967032967033, IBK, BEST_FIRST, SENSITIVE_LEARNING, OVER_SAMPLING, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 1, 0.0027397260273972603, 1.0, 0.2032967032967033, IBK, BEST_FIRST, NO_COST_SENSITIVE, UNDER_SAMPLING, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 1, 0.0027397260273972603, 1.0, 0.2032967032967033, IBK, BEST_FIRST, SENSITIVE_THRESHOLD, UNDER_SAMPLING, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 1, 0.0027397260273972603, 1.0, 0.2032967032967033, IBK, BEST_FIRST, SENSITIVE_LEARNING, UNDER_SAMPLING, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 1, 0.0027397260273972603, 1.0, 0.2032967032967033, IBK, BEST_FIRST, NO_COST_SENSITIVE, SMOTE, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 1, 0.0027397260273972603, 1.0, 0.2032967032967033, IBK, BEST_FIRST, SENSITIVE_THRESHOLD, SMOTE, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 1, 0.0027397260273972603, 1.0, 0.2032967032967033, IBK, BEST_FIRST, SENSITIVE_LEARNING, SMOTE, 74.0, 290.0, 0.0, 0.0, 0.2032967032967033, 1.0, 0.5, 0.0
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, NO_COST_SENSITIVE, NO_SAMPLING, 180.0, 191.0, 87.0, 7.0, 0.48517520215633425, 0.9625668449197861, 0.855124456584465, 0.2373007720600418
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SENSITIVE_THRESHOLD, NO_SAMPLING, 182.0, 226.0, 52.0, 5.0, 0.44607843137254904, 0.9732620320855615, 0.5801561958988959, 0.134329440777544
BOOKKEEPER, 2, 0.4397590361445783, 0.2054794520547945, 0.4021505376344086, NAIVE_BAYES, NO_FEATURES_SELECTION, SENSITIVE_LEARNING, NO_SAMPLING, 182.0, 225.0, 53.0, 5.0, 0.44717444717444715, 0.9732620320855615, 0.8602027468933944, 0.1374443512484676
