Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,4.0,3.0,164.0,41.0,158.0,160.0,40.0,158.0,483.0,120.75,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,6.0,4.0,1097.0,182.83333,736.0,906.0,151.0,736.0,488.0,81.333336,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,2.0,2.0,76.0,38.0,74.0,74.0,37.0,74.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,3.0,3.0,97.0,32.333332,93.0,94.0,31.333334,93.0,468.0,156.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,1.0,1.0,22.0,22.0,22.0,0.0,0.0,22.0,206.0,206.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,5.0,4.0,501.0,100.2,426.0,481.0,96.2,426.0,513.0,102.6,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,1.0,1.0,62.0,62.0,62.0,0.0,0.0,62.0,206.0,206.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,2.0,2.0,59.0,29.5,58.0,58.0,29.0,58.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,3.0,3.0,99.0,33.0,91.0,94.0,31.333334,91.0,388.0,129.33333,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,2.0,2.0,28.0,14.0,27.0,27.0,13.5,27.0,376.0,188.0,206.0,NO
